date,port_return,sharpe,risk,ret,w_IVV,w_SPY,w_VOO,w_VTI,w_XLB,w_XLE,w_XLF,w_XLI,w_XLK,w_XLP,w_XLRE,w_XLU,w_XLV,w_XLY
2022-01-11,0.009922684706533473,100.51544991850413,0.030000001040883035,3.0154636021799504,0.0,0.0,0.0,0.0,-0.09731566325054887,0.4413150521976174,6.335652585880361e-09,-0.12079615641782854,-0.3006724716847911,0.0,0.0,0.0,0.0,-0.03990065011352813
2022-01-12,-0.003925802991433737,57.96717677372286,0.029999999975342872,1.7390153017823817,0.0,0.0,0.0,0.0,-0.00867064664342655,0.4359126983298415,3.426956907281454e-08,-0.43245343834122524,-0.12296311387055818,0.0,0.0,-1.0587514449140556e-07,0.0,0.0
2022-01-13,0.0018427159702081694,65.12852613981161,0.030000001566819836,1.953855886239015,0.0,0.0,0.0,0.0,0.0,0.39691518873190035,1.0617957628750025e-08,-0.41264054622482393,-1.7396516096652886e-06,0.0,0.0,0.0,4.220673358535018e-09,-0.19044252417808388
2022-01-14,-0.004207669896675857,27.040732621796586,0.03000000867992267,0.8112222133653656,0.0,0.0,0.0,0.0,0.0,0.015656188195359865,0.37150862903434845,-0.17958856713699892,0.1400612041557718,-0.2931733896633478,0.0,0.0,0.0,-1.2021813998597478e-05
2022-01-18,0.028046078096189336,19.827829371840075,0.03000000000684145,0.5948348812908534,0.0,0.0,0.0,0.0,0.2784591886804294,0.0,0.07278002165126345,8.948712439151428e-09,-2.1684107951835313e-08,-0.3454670595026197,0.0,0.0,0.0,-0.3032937491232696
2022-01-19,-0.0012765415595816642,13.979709116174691,0.030000014151132227,0.41939147131395293,0.0,0.0,0.0,-0.32298270613470503,0.0,0.0,0.0,0.13421050643871318,0.011698637752202437,-0.002743559741458925,0.0,-0.5283646236609877,0.0,3.372796424808594e-08
2022-01-20,-0.009678143097658836,18.992939765872975,0.03000000009359891,0.5697881947539077,0.0,0.0,0.0,0.0,0.0,0.0,-0.23537787832445264,0.4193458109282422,-3.672381179124775e-08,6.862875284615501e-09,0.0,-0.2694127307626653,0.0,-0.07586360984557651
2022-01-21,0.01648819387449923,30.165201021657776,0.030000000690098318,0.9049560514666878,0.0,0.0,0.0,0.0,0.0,0.0,-0.5085368606409036,0.36911992509680047,-6.020642661971775e-08,0.11994480105664243,-1.4860571906830066e-08,0.0,0.0,-0.0023983381386176606
2022-01-24,-0.015716788545645236,85.73511527442294,0.03000001774366002,2.5720549794874255,0.0,0.0,0.0,0.0,0.0,0.0,-2.7792508435290824e-07,0.05431801135830384,3.997941633462463e-08,-0.030492011040493257,-0.5723511861005158,0.0,0.0,-0.342838918016918
2022-01-25,0.0034854305925521344,85.98122396212865,0.030000001253981556,2.579436826682729,0.0,0.0,0.0,0.0,0.0,0.0,-0.2461366290682089,-0.6397993192178355,0.06965509389213854,-2.4398277779370925e-09,0.0,0.0,-1.5264804503476935e-08,-0.04440896635407128
2022-01-26,0.018150735312296506,31.70190341080988,0.03000000001296134,0.9510571027351955,0.0,0.0,0.0,0.0,0.0,-0.07749769645425832,-1.0418886860738449e-09,-0.32434646988489146,0.0,0.15501741005607506,0.0,-0.43192832320435326,0.0,0.011210101442311361
2022-01-27,-0.0014045249948249155,38.93478429590784,0.030000000946957803,1.1680435657468329,0.0,0.0,0.0,0.0,0.0,0.0,-0.28187461013605364,-0.24004068853858548,3.1004139248710207e-09,-0.036373507142409285,0.0,-0.3743363621617744,0.0,0.06737484447188925
2022-01-28,-0.023092044149851252,45.27911129218898,0.02999999957012111,1.3583733193011351,0.0,0.0,0.0,0.0,0.0,0.0,-0.27180436900893606,-0.0076260512607609215,-1.426251360979229e-08,-0.4308973017972734,0.0,-0.28966972899765725,0.0,-2.5805134952028987e-06
2022-01-31,-0.01836339881559711,23.920099063042652,0.03000004360784568,0.7176040149952682,0.0,0.0,0.0,0.0,0.0,0.0,0.15644921567720793,0.04258866215736527,0.1414599736437805,-1.1040977898287472e-08,0.0,0.0,-0.4339345901668867,-0.2255675473137819
2022-02-10,-0.005275537129505966,18.189513532546712,0.030000000772331895,0.5456854200247429,0.0,0.0,0.0,0.0,0.0,4.9889632786975645e-08,0.0,0.0,-0.32426355117618505,2.552335234098655e-09,0.0,-1.4526354615506921e-08,0.5659427134086448,0.10979389775485605
2022-02-11,-0.002885509920298537,23.726363679913575,0.03000000049366689,0.7117909221103275,0.0,0.0,0.0,0.0,0.0,0.0,0.6472190495629158,0.0,-0.11632542228959045,2.103236029217526e-09,0.066233205066858,0.0,1.3577295799376156e-07,-0.17022230856738613
2022-02-14,-0.0115545320352937,26.024878198664396,0.030010147234661052,0.781010426506039,0.0,0.0,0.0,0.0,0.21464937704408474,0.0,0.42810099942076546,-7.954250563153557e-07,-0.3085151565122016,0.0,0.0009372351512735121,0.0,0.0,0.04779643644506913
2022-02-15,0.00016013951299831237,26.927352467018142,0.03000068533713093,0.8078390283250275,0.0,0.0,0.0,0.0,0.46232497647662063,0.0,0.0371610342566971,0.10251893349639725,-0.39789929680004804,0.0,1.4960960473469512e-07,0.0,0.0,-9.560936061184918e-05
2022-02-16,-0.003813264868277786,12.179309918229153,0.03001246646130437,0.36553113044268415,0.0,0.0,0.0,0.0,0.0,0.0,-0.0057804888897910875,0.0,0.14278399366221883,-0.5995444693798104,-0.1468895981055508,0.10499978231019316,0.0,-1.6676562515491723e-06
